date,year,month,group_code,group_name,short_name,monthly_variation,source_table
2015-04-01,2015,4,9,Comunicação,Comunicação,0.31,1419
2015-05-01,2015,5,1,Alimentação e bebidas,Alimentação,1.37,1419
2015-05-01,2015,5,2,Habitação,Habitação,1.22,1419
2015-05-01,2015,5,3,Artigos de residência,Residência,0.36,1419
2015-05-01,2015,5,4,Vestuário,Vestuário,0.61,1419
2015-05-01,2015,5,5,Transportes,Transportes,-0.29,1419
2015-05-01,2015,5,6,Saúde e cuidados pessoais,Saúde,1.1,1419
2015-05-01,2015,5,7,Despesas pessoais,Pessoais,0.74,1419
2015-05-01,2015,5,8,Educação,Educação,0.06,1419
2015-05-01,2015,5,9,Comunicação,Comunicação,0.17,1419
2015-06-01,2015,6,1,Alimentação e bebidas,Alimentação,0.63,1419
2015-06-01,2015,6,2,Habitação,Habitação,0.86,1419
2015-06-01,2015,6,3,Artigos de residência,Residência,0.72,1419
2015-06-01,2015,6,4,Vestuário,Vestuário,0.58,1419
2015-06-01,2015,6,5,Transportes,Transportes,0.7,1419
2015-06-01,2015,6,6,Saúde e cuidados pessoais,Saúde,0.91,1419
2015-06-01,2015,6,7,Despesas pessoais,Pessoais,1.63,1419
2015-06-01,2015,6,8,Educação,Educação,0.2,1419
2015-06-01,2015,6,9,Comunicação,Comunicação,0.34,1419
2015-07-01,2015,7,1,Alimentação e bebidas,Alimentação,0.65,1419
2015-07-01,2015,7,2,Habitação,Habitação,1.52,1419
2015-07-01,2015,7,3,Artigos de residência,Residência,0.86,1419
2015-07-01,2015,7,4,Vestuário,Vestuário,-0.31,1419
2015-07-01,2015,7,5,Transportes,Transportes,0.15,1419
2015-07-01,2015,7,6,Saúde e cuidados pessoais,Saúde,0.84,1419
2015-07-01,2015,7,7,Despesas pessoais,Pessoais,0.61,1419
2015-07-01,2015,7,8,Educação,Educação,0,1419
2015-07-01,2015,7,9,Comunicação,Comunicação,0.3,1419
2015-08-01,2015,8,1,Alimentação e bebidas,Alimentação,-0.01,1419
2015-08-01,2015,8,2,Habitação,Habitação,0.29,1419
2015-08-01,2015,8,3,Artigos de residência,Residência,0.37,1419
2015-08-01,2015,8,4,Vestuário,Vestuário,0.2,1419
2015-08-01,2015,8,5,Transportes,Transportes,-0.27,1419
2015-08-01,2015,8,6,Saúde e cuidados pessoais,Saúde,0.62,1419
2015-08-01,2015,8,7,Despesas pessoais,Pessoais,0.75,1419
2015-08-01,2015,8,8,Educação,Educação,0.82,1419
2015-08-01,2015,8,9,Comunicação,Comunicação,0.14,1419
2015-09-01,2015,9,1,Alimentação e bebidas,Alimentação,0.24,1419
2015-09-01,2015,9,2,Habitação,Habitação,1.3,1419
2015-09-01,2015,9,3,Artigos de residência,Residência,0.19,1419
2015-09-01,2015,9,4,Vestuário,Vestuário,0.5,1419
2015-09-01,2015,9,5,Transportes,Transportes,0.71,1419
2015-09-01,2015,9,6,Saúde e cuidados pessoais,Saúde,0.55,1419
2015-09-01,2015,9,7,Despesas pessoais,Pessoais,0.33,1419
2015-09-01,2015,9,8,Educação,Educação,0.25,1419
2015-09-01,2015,9,9,Comunicação,Comunicação,0.01,1419
2015-10-01,2015,10,1,Alimentação e bebidas,Alimentação,0.77,1419
2015-10-01,2015,10,2,Habitação,Habitação,0.75,1419
